Institution,Rank,Class,Country,Size,Academic,Employer,Faculty student,IRN,Citations per paper,Papers per faculty,Staff with PhD,International faculty,International students,Inbound,Outbound
Universiti Sultan Zainal Abidin,=486,A,Malaysia,M,30.2,11,27.5,69.8,5.9,18.1,77.9,41.9,32.8,48,14.8
Can Tho University,=493,A,Viet Nam,XL,33.1,23.7,5.8,79.8,8.6,13.1,41.7,76.6,1.2,8.5,18
Universitas Islam Indonesia,=507,A,Indonesia,L,55.4,27.4,5.2,41.7,4.4,12.5,13.3,9.7,1.8,1.9,10
University of San Carlos,=507,A,Philippines,L,40.1,48.5,7,14.3,33.9,5.9,4.6,6.1,9,19.2,17.6
Naresuan University ,=509,A,Thailand,L,39.8,20.4,19,40.7,6.1,8.5,84.6,18.1,4.9,8,37.3
Udayana University,=518,A,Indonesia,XL,34.6,30.3,22,55.4,2.8,7.4,31.1,26.9,16.7,37.5,9.2
Walailak University,=518,A,Thailand,L,30.7,10.7,25.1,74.1,12.7,14.6,49.2,33.9,10,20.2,53
Petra Christian University,=526,A,Indonesia,M,42.5,31.4,23.3,23.8,12.2,6.4,13.5,19.9,1.9,23,52
Universitas Muhammadiyah Yogyakarta (UMY),=526,A,Indonesia,L,40.4,16.4,9.8,29,2.1,10.8,39,97.8,13.4,83.7,59.4
State University of Malang (Universitas Negeri Malang),=537,A,Indonesia,XL,42,19,16.6,41.9,1.8,16.8,33.3,50.4,3.9,31.8,34.2
Universiti Sains Islam Malaysia,=537,A,Malaysia,L,38.3,16.6,18.7,54.1,6.3,10,67,23.2,24.5,2.4,5.6
Mapœa University,=544,A,Philippines,M,33.9,50.1,8.6,22.2,2.3,55.3,6.5,7.4,5.4,2.1,27.4
Srinakharinwirot University,=548,A,Thailand,L,29.2,28.2,15,45.6,11.4,6.9,90.9,7.5,10.4,14.1,11.3
Universiti Islam Sultan Sharif Ali,=554,A,Brunei Darussalam,S,21.6,14.1,59.3,7,3.4,6,81.8,99.8,52.5,28.2,79.7
City University Malaysia,=558,A,Malaysia,S,10.1,7.8,99.6,15.5,3.9,3.4,6.1,100,100,99.9,100
MAHSA University,=577,A,Malaysia,M,17.8,13.9,19.5,37.3,59.5,14,11,97.5,99.7,19,1
Foreign Trade University,=580,A,Viet Nam,L,17.3,56.2,7,10.7,78.2,3.1,,,,1,1.1
Universitas Syiah Kuala,=580,A,Indonesia,L,33.5,11.8,41.2,64.4,3.4,12.5,14.5,5.5,7.7,27.8,21
University of Transport and Communications,=607,A,Viet Nam,L,17.9,16,3.7,48.3,95.1,4.9,30.9,2.6,2.1,2.8,1.8
Malaysia University of Science and Technology (MUST),613,A,Malaysia,S,17.2,11.6,10.3,3.2,43.9,7.9,51.6,97.4,100,84.9,75.8
University of Phayao,=620,A,Thailand,S,7.8,4.7,99.7,50.7,10.3,8.4,49.2,7.7,58.5,22.2,21.9
Singapore University of Social Sciences,=627,A,Singapore,L,9.9,9.6,11,35.5,99.6,4.7,,,,99.9,100
Institut Teknologi Nasional Bandung (ITENAS Bandung),=629,A,Indonesia,M,52.5,19.4,26.3,11.6,2.2,3.8,5.9,7.5,2.2,4.2,8.4
Mae Fah Luang University,=638,A,Thailand,L,28.5,14.4,13.8,48.6,15.4,14.3,18.1,66.1,24.9,20.3,35.4
Polytechnic University of the Philippines,=671,A,Philippines,XL,37.5,59.2,,,1.8,1.9,,,,1,1
Burapha University,=675,A,Thailand,XL,29.8,25.9,10.9,49.5,7.2,6.5,27.9,9.9,10.6,4,1
University of Surabaya,=680,A,Indonesia,M,28.6,29.2,16.6,33,6.3,8,33.4,16.7,2.1,7.3,19.1
Silliman University ,=694,A,Philippines,M,27.4,27,36.7,18.3,28.9,2.2,2.5,1.5,15.9,3.6,1
Phuket Rajabhat University,=700,A,Thailand,M,55.1,6.8,10.4,11.8,7.7,3.3,15.2,24.3,3.5,5.5,3
Universitas Pelita Harapan,=700,A,Indonesia,L,23,44,27.8,15.9,14.7,3.3,7.1,4,5.9,2.2,14.3
